symbol,date,price
ABBV,2022/01/31,133.124
ACN,2022/01/31,349.726
AEP,2022/01/31,87.403
AIZ,2022/01/31,149.851
ALLE,2022/01/31,121.261
AMAT,2022/01/31,136.91
AMP,2022/01/31,299.218
AMZN,2022/01/31,149.574
AVB,2022/01/31,236.358
AVY,2022/01/31,202.11
AXP,2022/01/31,177.963
BDX,2022/01/31,244.561
BF-B,2022/01/31,66.695
BMY,2022/01/31,63.487
BR,2022/01/31,156.302
CARR,2022/01/31,46.897
CDW,2022/01/31,186.812
CE,2022/01/31,152.23
CHTR,2022/01/31,593.34
CNC,2022/01/31,77.76
CNP,2022/01/31,27.702
COP,2022/01/31,84.444
CTAS,2022/01/31,387.481
CZR,2022/01/31,76.14
DG,2022/01/31,206.572
DPZ,2022/01/31,449.256
DRE,2022/01/31,56.905
DXC,2022/01/31,30.08
EWA,2022/01/31,21.735
EWC,2022/01/31,37.366
EWG,2022/01/31,31.066
EWH,2022/01/31,23.05
EWJ,2022/01/31,63.321
EWL,2022/01/31,48.363
EWQ,2022/01/31,36.698
EWT,2022/01/31,55.024
EWU,2022/01/31,32.795
EWY,2022/01/31,71.523
EWZ,2022/01/31,28.109
FTV,2022/01/31,70.226
GOOG,2022/01/31,135.698
GPC,2022/01/31,130.012
GSG,2022/01/31,19.12
HIG,2022/01/31,70.282
HIGH.L,2022/01/31,5.419
HST,2022/01/31,16.997
HYG,2022/01/31,80.517
IAU,2022/01/31,34.22
ICLN,2022/01/31,18.59
IEAA.L,2022/01/31,5.26
IEF,2022/01/31,110.723
IEFM.L,2022/01/31,768.5
IEMG,2022/01/31,58.087
IEUS,2022/01/31,63.153
IEVL.L,2022/01/31,7.518
IGF,2022/01/31,46.082
INDA,2022/01/31,45.87
IUMO.L,2022/01/31,11.15
IUVL.L,2022/01/31,9.168
IVV,2022/01/31,444.651
IWM,2022/01/31,198.372
IXN,2022/01/31,59.104
JPEA.L,2022/01/31,5.76
JPM,2022/01/31,144.917
KR,2022/01/31,42.754
LQD,2022/01/31,124.235
MCHI,2022/01/31,61.334
META,2022/01/31,313.26
MVEU.L,2022/01/31,53.73
OGN,2022/01/31,30.776
PG,2022/01/31,157.408
PPL,2022/01/31,28.75
PRU,2022/01/31,106.638
PYPL,2022/01/31,171.94
RE,2022/01/31,276.991
REET,2022/01/31,27.996
ROL,2022/01/31,30.482
ROST,2022/01/31,96.448
SEGA.L,2022/01/31,107.668
SHY,2022/01/31,83.863
SLV,2022/01/31,20.8
SPMV.L,2022/01/31,79.22
TLT,2022/01/31,139.115
UNH,2022/01/31,466.594
URI,2022/01/31,320.12
V,2022/01/31,224.452
VRSK,2022/01/31,194.768
VXX,2022/01/31,21.41
WRK,2022/01/31,45.066
XLB,2022/01/31,82.489
XLC,2022/01/31,73.251
XLE,2022/01/31,63.251
XLF,2022/01/31,38.263
XLI,2022/01/31,99.025
XLK,2022/01/31,160.404
XLP,2022/01/31,74.058
XLU,2022/01/31,67.24
XLV,2022/01/31,129.234
XLY,2022/01/31,183.364
XOM,2022/01/31,73.043
ABBV,2022/02/01,133.231
ACN,2022/02/01,349.567
AEP,2022/02/01,85.421
AIZ,2022/02/01,148.613
ALLE,2022/02/01,118.563
AMAT,2022/02/01,137.337
AMP,2022/02/01,302.944
AMZN,2022/02/01,151.194
AVB,2022/02/01,236.6
AVY,2022/02/01,203.064
AXP,2022/02/01,181.645
BDX,2022/02/01,243.686
BF-B,2022/02/01,66.754
BMY,2022/02/01,63.78
BR,2022/02/01,150.52
CARR,2022/02/01,46.278
CDW,2022/02/01,187.158
CE,2022/02/01,154.107
CHTR,2022/02/01,596.89
CNC,2022/02/01,76.95
CNP,2022/02/01,27.429
COP,2022/02/01,87.226
CTAS,2022/02/01,383.315
CZR,2022/02/01,80.8
DG,2022/02/01,207.206
DPZ,2022/02/01,452.863
DRE,2022/02/01,56.343
DXC,2022/02/01,30.79
EWA,2022/02/01,22.021
EWC,2022/02/01,37.845
EWG,2022/02/01,31.328
EWH,2022/02/01,23.176
EWJ,2022/02/01,63.341
EWL,2022/02/01,49.04
EWQ,2022/02/01,37.211
EWT,2022/02/01,55.236
EWU,2022/02/01,33.172
EWY,2022/02/01,72.106
EWZ,2022/02/01,28.589
FTV,2022/02/01,70.316
GOOG,2022/02/01,137.878
GPC,2022/02/01,131.037
GSG,2022/02/01,19.26
HIG,2022/02/01,70.527
HIGH.L,2022/02/01,5.447
HST,2022/02/01,17.027
HYG,2022/02/01,80.837
