symbol,date,price
ABBV,2022/01/31,133.124
ACN,2022/01/31,349.726
AEP,2022/01/31,87.403
AIZ,2022/01/31,149.851
ALLE,2022/01/31,121.261
AMAT,2022/01/31,136.91
AMP,2022/01/31,299.218
AMZN,2022/01/31,149.574
AVB,2022/01/31,238.714
AVY,2022/01/31,202.905
AXP,2022/01/31,177.963
BDX,2022/01/31,245.467
BF-B,2022/01/31,66.695
BMY,2022/01/31,63.487
BR,2022/01/31,157.086
CARR,2022/01/31,47.108
CDW,2022/01/31,186.812
CE,2022/01/31,152.23
CHTR,2022/01/31,593.34
CNC,2022/01/31,77.76
CNP,2022/01/31,27.702
COP,2022/01/31,84.975
CTAS,2022/01/31,387.481
CZR,2022/01/31,76.14
DG,2022/01/31,207.032
DPZ,2022/01/31,450.626
DRE,2022/01/31,56.905
DXC,2022/01/31,30.08
EWA,2022/01/31,22.146
EWC,2022/01/31,37.914
EWG,2022/01/31,31.077
EWH,2022/01/31,23.359
EWJ,2022/01/31,63.464
EWL,2022/01/31,48.363
EWQ,2022/01/31,36.832
EWT,2022/01/31,64.89
EWU,2022/01/31,33.292
EWY,2022/01/31,72.39
EWZ,2022/01/31,30.206
FTV,2022/01/31,70.226
GOOG,2022/01/31,135.698
GPC,2022/01/31,130.65
GSG,2022/01/31,19.12
HIG,2022/01/31,70.282
HIGH.L,2022/01/31,5.419
HST,2022/01/31,17.124
HYG,2022/01/31,80.941
IAU,2022/01/31,34.22
ICLN,2022/01/31,18.622
IEAA.L,2022/01/31,5.26
IEF,2022/01/31,110.717
IEFM.L,2022/01/31,768.5
IEMG,2022/01/31,58.898
IEUS,2022/01/31,63.548
IEVL.L,2022/01/31,7.518
IGF,2022/01/31,46.588
INDA,2022/01/31,45.87
IUMO.L,2022/01/31,11.15
IUVL.L,2022/01/31,9.168
IVV,2022/01/31,446.572
IWM,2022/01/31,199.286
IXN,2022/01/31,59.334
JPEA.L,2022/01/31,5.76
JPM,2022/01/31,144.917
KR,2022/01/31,42.754
LQD,2022/01/31,124.213
MCHI,2022/01/31,62.25
META,2022/01/31,313.26
MVEU.L,2022/01/31,53.73
OGN,2022/01/31,30.776
PG,2022/01/31,157.408
PPL,2022/01/31,28.975
PRU,2022/01/31,106.638
PYPL,2022/01/31,171.94
RE,2022/01/31,276.991
REET,2022/01/31,27.996
ROL,2022/01/31,30.482
ROST,2022/01/31,96.7
SEGA.L,2022/01/31,107.668
SHY,2022/01/31,84.05
SLV,2022/01/31,20.8
SPMV.L,2022/01/31,79.22
TLT,2022/01/31,139.452
UNH,2022/01/31,466.594
URI,2022/01/31,320.12
V,2022/01/31,224.452
VRSK,2022/01/31,195.095
VXX,2022/01/31,21.41
WRK,2022/01/31,45.066
XLB,2022/01/31,83.023
XLC,2022/01/31,73.431
XLE,2022/01/31,63.902
XLF,2022/01/31,38.503
XLI,2022/01/31,99.497
XLK,2022/01/31,160.865
XLP,2022/01/31,74.589
XLU,2022/01/31,67.791
XLV,2022/01/31,129.767
XLY,2022/01/31,183.866
XOM,2022/01/31,73.043
ABBV,2022/02/01,133.231
ACN,2022/02/01,349.567
AEP,2022/02/01,85.421
AIZ,2022/02/01,148.613
ALLE,2022/02/01,118.563
AMAT,2022/02/01,137.337
AMP,2022/02/01,302.944
AMZN,2022/02/01,151.194
AVB,2022/02/01,238.959
AVY,2022/02/01,203.863
AXP,2022/02/01,181.645
BDX,2022/02/01,244.588
BF-B,2022/02/01,66.754
BMY,2022/02/01,63.78
BR,2022/02/01,151.275
CARR,2022/02/01,46.485
CDW,2022/02/01,187.158
CE,2022/02/01,154.107
CHTR,2022/02/01,596.89
CNC,2022/02/01,76.95
CNP,2022/02/01,27.429
COP,2022/02/01,87.774
CTAS,2022/02/01,383.315
CZR,2022/02/01,80.8
DG,2022/02/01,207.667
DPZ,2022/02/01,454.244
DRE,2022/02/01,56.343
DXC,2022/02/01,30.79
EWA,2022/02/01,22.436
EWC,2022/02/01,38.4
EWG,2022/02/01,31.339
EWH,2022/02/01,23.487
EWJ,2022/02/01,63.483
EWL,2022/02/01,49.04
EWQ,2022/02/01,37.347
EWT,2022/02/01,65.14
EWU,2022/02/01,33.675
EWY,2022/02/01,72.98
EWZ,2022/02/01,30.722
FTV,2022/02/01,70.316
GOOG,2022/02/01,137.878
GPC,2022/02/01,131.68
GSG,2022/02/01,19.26
HIG,2022/02/01,70.527
HIGH.L,2022/02/01,5.447
HST,2022/02/01,17.154
HYG,2022/02/01,81.263
